City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
571,Panama City,PA,82.06,few clouds,8.9936,-79.5197,Riande Urban Hotel
572,Buala,SB,86.52,overcast clouds,-8.145,159.5921,Maringe Lagoon Lodge
574,Bandarbeyla,SO,75.54,clear sky,9.4942,50.8122,JABIR HOTEL
576,Phan Thiet,VN,80.89,overcast clouds,10.9333,108.1,Hotel Saigon-PT
583,Ewa Beach,US,82.35,broken clouds,21.3156,-158.0072,Uncle Junior Robert
584,Ratnagiri,IN,78.6,clear sky,16.9833,73.3,Hotel Landmark
590,Islamkot,PK,77.56,clear sky,24.6997,70.17699999999999,Haji Hotel
592,Kantang,TH,76.91,overcast clouds,7.4054,99.5156,Reng Ta Chai Boutique HomeStay
593,Gunjur,GM,77.07,broken clouds,13.2019,-16.7339,Kuba Lodge
597,Samarai,PG,83.97,overcast clouds,-10.6167,150.6667,Nuli Sapi
599,Pahrump,US,76.62,clear sky,36.2083,-115.9839,Best Western Pahrump Oasis
603,Itoman,JP,79.18,scattered clouds,26.1247,127.6694,Southern Beach Hotel & Resort Okinawa
604,Celestun,MX,82.06,overcast clouds,20.8667,-90.4,Posada Lilia
615,Gao,ML,81.34,overcast clouds,16.6362,1.6369999999999998,
616,Port Hedland,AU,80.65,scattered clouds,-20.3167,118.5667,The Esplanade Hotel
617,Kutum,SD,75.31,clear sky,14.2,24.6667,Dibbo areaمنطقة دبو
619,Omboue,GA,75.29,broken clouds,-1.5746,9.2618,Hotel Olako
620,Conceicao Do Araguaia,BR,79.57,overcast clouds,-8.2578,-49.2647,Tarumã Tropical Hotel
625,Santa Cruz,BO,76.46,broken clouds,-17.8,-63.1667,Aviador Hotel Boutique
627,Monrovia,LR,78.26,moderate rain,6.3005,-10.7969,Sunset Inn
629,Alugan,PH,83.55,broken clouds,12.2188,125.4808,JM Lodge
636,Barabai,ID,81.12,overcast clouds,-2.5833,115.3833,HOTEL BOURAQ INDAH PERMAI
637,Nouakchott,MR,85.12,few clouds,18.0858,-15.9785,HOTEL IMAN فندق إيمان
639,Brokopondo,SR,77.85,overcast clouds,4.75,-55.1667,Matu Island
641,Yeppoon,AU,82.18,clear sky,-23.1333,150.7333,Villa Mar Colina
642,Auki,SB,86.49,few clouds,-8.7676,160.7034,Auki Motel
645,Gangarampur,IN,75.7,overcast clouds,25.4,88.5167,Parijat Lodge
648,Biltine,TD,82.36,clear sky,14.5333,20.9167,Hôtel Trois Étoiles de Biltine
656,Tucupita,VE,77.54,overcast clouds,9.0622,-62.051,Hotel Tucupita Su​ite C.A.
660,Pandan,PH,82.09,heavy intensity rain,14.0453,124.1694,Bonifacio Lodge
662,Kahului,US,85.26,overcast clouds,20.8947,-156.47,Maui Seaside Hotel
664,Porto Novo,BJ,77.63,moderate rain,6.4965,2.6036,Tour Eiffel Hotel Benin
667,Puro,PH,83.16,clear sky,12.4841,123.3827,
668,Cururupu,BR,75.18,scattered clouds,-1.8283,-44.8683,POUSADA TRAVÉS'CIA
670,Natal,BR,77.65,scattered clouds,-5.795,-35.2094,Villa Park Hotel | Natal
671,Victoria Point,AU,79.02,overcast clouds,-27.5833,153.3,Bay Retreat Motel
673,Cayenne,GF,82.09,few clouds,4.9333,-52.3333,Hôtel Le Dronmi
675,Podor,MR,88.11,overcast clouds,16.6527,-14.9587,Auberge Du Tékrour
676,Hingatungan,PH,84.18,scattered clouds,10.584000000000001,125.1852,
678,Tual,ID,83.75,broken clouds,-5.6667,132.75,Grand Vilia Hotel
680,Wanning,CN,77.97,light rain,18.8003,110.3967,Paradise Hotel
682,Les Cayes,HT,79.83,few clouds,18.2,-73.75,Villa Orphee
