City ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
276,Irinjalakuda,IN,10.3333,76.2333,75.09,96,98,1.28,heavy intensity rain
277,Vila Velha,BR,-20.3297,-40.2925,73.35,83,75,6.91,broken clouds
278,Buenaventura,CO,3.8801,-77.0312,62.91,93,100,2.53,overcast clouds
279,Marienburg,PL,54.0359,19.0266,49.95,78,64,8.28,broken clouds
280,Tofield,CA,53.3668,-112.6686,49.82,62,100,9.31,overcast clouds
281,Yerbogachen,RU,61.2767,108.0108,30.96,83,100,11.14,overcast clouds
282,Prince Rupert,CA,54.3161,-130.3201,46.09,73,53,3.44,broken clouds
283,Bambous Virieux,MU,-20.3428,57.7575,72.21,78,40,14.97,scattered clouds
284,Uhlove,UA,44.8215,33.6045,51.57,66,71,8.16,broken clouds
285,Iquique,CL,-20.2208,-70.1431,59.04,76,56,3.98,broken clouds
286,Zhigansk,RU,66.7697,123.3711,17.1,90,100,19.06,overcast clouds
287,Alofi,NU,-19.0595,-169.9187,84.09,65,25,16.11,light rain
288,Jinchang,CN,38.4953,102.1739,47.34,29,0,1.21,clear sky
289,Tateyama,JP,34.9833,139.8667,63.1,61,45,19.22,scattered clouds
290,Mecca,SA,21.4267,39.8261,84.34,27,7,4.43,clear sky
291,Ossora,RU,59.2353,163.0719,33.91,99,100,36.98,moderate rain
292,Bucerias,MX,20.75,-105.3333,82.98,89,26,1.81,scattered clouds
293,Uruzgan,AF,32.8333,66.0,46.74,21,0,1.74,clear sky
294,Fernie,CA,49.5,-115.0687,63.57,48,9,2.55,clear sky
295,The Valley,AI,18.217,-63.0578,84.06,70,20,1.72,few clouds
296,Qianan,CN,44.9932,124.0581,37.83,74,79,12.01,broken clouds
297,Westport,US,41.1415,-73.3579,57.27,83,40,5.99,scattered clouds
298,Calatayud,ES,41.3535,-1.6432,63.18,80,99,1.86,overcast clouds
299,Wanning,CN,18.8003,110.3967,77.97,89,100,16.37,light rain
300,Aurillac,FR,44.9167,2.45,46.0,93,4,3.44,clear sky
301,Longyearbyen,SJ,78.2186,15.6401,17.44,67,20,4.61,few clouds
302,Clyde River,CA,70.4692,-68.5914,28.51,80,100,14.83,overcast clouds
303,Whitehorse,CA,60.7161,-135.0538,34.57,60,75,13.0,broken clouds
304,Meadow Lake,US,34.8014,-106.5436,69.28,37,70,9.86,broken clouds
305,Tessalit,ML,20.1986,1.0114,81.1,13,3,10.27,clear sky
306,Nome,US,64.5011,-165.4064,30.27,59,1,12.66,clear sky
307,San Policarpo,PH,12.1791,125.5072,83.8,78,47,8.1,scattered clouds
308,Belmonte,BR,-15.8631,-38.8828,79.3,86,56,9.15,broken clouds
309,Guangyuan,CN,32.442,105.823,54.39,83,100,2.15,overcast clouds
310,Lorengau,PG,-2.0226,147.2712,86.05,66,12,9.95,few clouds
311,Bhanpura,IN,24.513,75.7469,70.68,94,100,15.55,overcast clouds
312,Saldanha,ZA,-33.0117,17.9442,51.85,74,0,14.76,clear sky
313,Puerto Penasco,MX,31.3167,-113.5333,77.92,77,100,11.01,overcast clouds
314,Mahibadhoo,MV,3.7833,72.9667,81.23,77,100,16.44,overcast clouds
315,Iwanai,JP,42.9744,140.5089,46.99,53,100,12.1,overcast clouds
316,Chapais,CA,49.7834,-74.8492,38.98,89,100,5.35,overcast clouds
317,Klyuchi,RU,52.2667,79.1667,36.03,75,31,6.06,scattered clouds
318,Peski,RU,55.2163,38.7626,43.39,77,100,9.24,overcast clouds
319,Suntar,RU,62.1444,117.6319,25.23,92,100,10.67,light snow
320,Lompoc,US,34.6391,-120.4579,67.01,68,1,10.0,clear sky
321,Riyadh,SA,24.6877,46.7219,75.34,30,0,4.85,clear sky
322,Vao,NC,-22.6667,167.4833,73.31,89,100,12.1,light rain
323,Kysyl-Syr,RU,63.8986,122.7617,19.06,81,100,6.73,overcast clouds
324,Winnemucca,US,40.973,-117.7357,64.45,13,1,10.36,clear sky
325,Araouane,ML,18.9048,-3.5265,82.26,13,44,10.16,scattered clouds
326,Moron,AR,-34.6534,-58.6198,67.75,52,3,1.01,clear sky
327,Jilin,CN,43.0,126.0,42.69,57,100,11.5,overcast clouds
328,Brae,GB,60.3964,-1.353,48.11,75,100,15.35,overcast clouds
329,Ilheus,BR,-14.7889,-39.0494,80.42,78,40,6.91,scattered clouds
330,Port Lincoln,AU,-34.7333,135.8667,62.85,62,18,10.4,few clouds
331,Nikolskoye,RU,59.7035,30.7861,41.02,78,35,11.03,scattered clouds
332,Solnechnyy,RU,50.7214,136.6319,26.94,48,97,3.22,overcast clouds
333,Alyangula,AU,-13.8483,136.4192,87.67,70,78,4.61,broken clouds
334,Bandarbeyla,SO,9.4942,50.8122,75.54,89,10,12.17,clear sky
335,Narsaq,GL,60.9167,-46.05,34.02,55,81,5.7,broken clouds
336,Tambopata,PE,-12.7333,-69.1833,73.29,78,0,0.0,clear sky
337,Tomohon,ID,1.3346,124.8392,79.74,62,63,3.33,broken clouds
338,Matagami,CA,49.7502,-77.6328,39.31,100,90,9.22,overcast clouds
339,Anadyr,RU,64.75,177.4833,27.1,86,40,20.0,light snow
340,Betulia,CO,6.1128,-75.9838,63.0,98,100,2.93,overcast clouds
341,Ribeira Grande,PT,38.5167,-28.7,70.29,83,25,15.5,scattered clouds
342,Vieux-Habitants,GP,16.0589,-61.7659,76.57,77,7,3.02,clear sky
343,Soyo,AO,-6.1349,12.3689,76.12,81,100,6.58,overcast clouds
344,Yulara,AU,-25.2406,130.9889,89.44,13,5,8.05,clear sky
345,Taoudenni,ML,22.6783,-3.9836,83.43,7,40,11.65,scattered clouds
346,Willowmore,ZA,-33.2926,23.4895,38.77,81,5,2.35,clear sky
347,Lund,SE,55.7058,13.1932,44.47,84,36,2.08,scattered clouds
348,San Cristobal,VE,7.7669,-72.225,75.38,90,100,2.8,overcast clouds
349,Nueva Granada,CO,9.8017,-74.393,75.16,94,100,6.93,overcast clouds
350,Mattawa,US,46.7379,-119.9028,64.36,41,100,3.0,overcast clouds
